Net Status Report
Filename     : C:\Users\ELSYS\Documents\2022_10_tom_gaupp_schmidt_messplatinen\00_Altium_Spannungsmessung_15kV\PCB_SpannungsmessungNEU.PcbDoc
Date         : 24.08.2023
Time         : 12:10:37
Time Elapsed : 00:00:00

Nets, Layer, Length
    +5V_HV, Signal Layers Only, 56.4043mm
    +5V_LV, Signal Layers Only, 120.9666mm
    -5V_LV, Signal Layers Only, 85.5822mm
    24V_IN, Signal Layers Only, 0mm
    GND_HV, Signal Layers Only, 0mm
    GND_IN, Signal Layers Only, 0mm
    GND_LV, Signal Layers Only, 4.0631mm
    NetC102_2, Signal Layers Only, 2.6828mm
    NetC103_2, Signal Layers Only, 8.1871mm
    NetC106_2, Signal Layers Only, 8.2518mm
    NetC107_2, Signal Layers Only, 21.0637mm
    NetC108_2, Signal Layers Only, 7.0914mm
    NetC109_2, Signal Layers Only, 7.0914mm
    NetC110_2, Signal Layers Only, 7.0914mm
    NetC111_2, Signal Layers Only, 7.0914mm
    NetC112_2, Signal Layers Only, 19.963mm
    NetC113_2, Signal Layers Only, 7.0104mm
    NetC114_2, Signal Layers Only, 7.0725mm
    NetC115_2, Signal Layers Only, 7.0621mm
    NetC116_2, Signal Layers Only, 7mm
    NetC117_2, Signal Layers Only, 19.9758mm
    NetC118_2, Signal Layers Only, 7.0914mm
    NetC119_2, Signal Layers Only, 7.0914mm
    NetC120_2, Signal Layers Only, 7.0914mm
    NetC121_2, Signal Layers Only, 7.0914mm
    NetC122_2, Signal Layers Only, 20.4922mm
    NetC123_2, Signal Layers Only, 7.0914mm
    NetC124_2, Signal Layers Only, 7.0914mm
    NetC125_2, Signal Layers Only, 7.0914mm
    NetC126_2, Signal Layers Only, 7.0914mm
    NetC127_2, Signal Layers Only, 20.3876mm
    NetC128_2, Signal Layers Only, 7.0914mm
    NetC129_2, Signal Layers Only, 7.0914mm
    NetC130_2, Signal Layers Only, 7.0914mm
    NetC131_2, Signal Layers Only, 7.0914mm
    NetC132_2, Signal Layers Only, 20.6569mm
    NetC133_2, Signal Layers Only, 7.0914mm
    NetC134_2, Signal Layers Only, 7.3087mm
    NetC135_2, Signal Layers Only, 7.0457mm
    NetC136_2, Signal Layers Only, 7.0914mm
    NetC137_2, Signal Layers Only, 20.4498mm
    NetC138_2, Signal Layers Only, 7.0914mm
    NetC139_2, Signal Layers Only, 7.0914mm
    NetC13_1, Signal Layers Only, 36.1681mm
    NetC13_2, Signal Layers Only, 7.0914mm
    NetC140_2, Signal Layers Only, 7.0914mm
    NetC141_2, Signal Layers Only, 7.0914mm
    NetC142_2, Signal Layers Only, 21.3569mm
    NetC143_2, Signal Layers Only, 7.0914mm
    NetC144_2, Signal Layers Only, 7.0914mm
    NetC145_2, Signal Layers Only, 7.0914mm
    NetC146_2, Signal Layers Only, 7.0914mm
    NetC147_2, Signal Layers Only, 20.6003mm
    NetC148_2, Signal Layers Only, 7.0902mm
    NetC149_2, Signal Layers Only, 7.0914mm
    NetC14_2, Signal Layers Only, 7.0914mm
    NetC150_2, Signal Layers Only, 7.0914mm
    NetC151_2, Signal Layers Only, 7.0914mm
    NetC152_2, Signal Layers Only, 20.6361mm
    NetC153_2, Signal Layers Only, 7.0914mm
    NetC154_2, Signal Layers Only, 7.0914mm
    NetC155_2, Signal Layers Only, 7.263mm
    NetC156_2, Signal Layers Only, 7.0914mm
    NetC157_2, Signal Layers Only, 21.2811mm
    NetC158_2, Signal Layers Only, 8.0457mm
    NetC159_2, Signal Layers Only, 8.1371mm
    NetC15_2, Signal Layers Only, 7.0915mm
    NetC160_2, Signal Layers Only, 8.0914mm
    NetC161_2, Signal Layers Only, 8.0457mm
    NetC162_2, Signal Layers Only, 21.5711mm
    NetC163_2, Signal Layers Only, 7.0914mm
    NetC164_2, Signal Layers Only, 6.4675mm
    NetC165_2, Signal Layers Only, 7.0914mm
    NetC166_2, Signal Layers Only, 7.0914mm
    NetC167_2, Signal Layers Only, 20.7811mm
    NetC168_2, Signal Layers Only, 7.0457mm
    NetC169_2, Signal Layers Only, 7.0914mm
    NetC16_2, Signal Layers Only, 7.0914mm
    NetC170_2, Signal Layers Only, 7.0914mm
    NetC171_2, Signal Layers Only, 7.0914mm
    NetC172_2, Signal Layers Only, 12.0513mm
    NetC17_2, Signal Layers Only, 20.4319mm
    NetC18_2, Signal Layers Only, 7.0914mm
    NetC19_2, Signal Layers Only, 7.0914mm
    NetC20_2, Signal Layers Only, 7.0914mm
    NetC21_2, Signal Layers Only, 7.1371mm
    NetC22_2, Signal Layers Only, 20.3048mm
    NetC23_2, Signal Layers Only, 7.0457mm
    NetC24_2, Signal Layers Only, 7.0914mm
    NetC25_2, Signal Layers Only, 7.0914mm
    NetC26_2, Signal Layers Only, 7.0457mm
    NetC27_2, Signal Layers Only, 20.5255mm
    NetC28_2, Signal Layers Only, 7.0914mm
    NetC29_2, Signal Layers Only, 7.0914mm
    NetC30_2, Signal Layers Only, 7.0914mm
    NetC31_2, Signal Layers Only, 7.8225mm
    NetC32_2, Signal Layers Only, 20.6048mm
    NetC33_2, Signal Layers Only, 7.0914mm
    NetC34_2, Signal Layers Only, 7.0914mm
    NetC35_2, Signal Layers Only, 7.0914mm
    NetC36_2, Signal Layers Only, 7.0914mm
    NetC37_2, Signal Layers Only, 20.719mm
    NetC38_2, Signal Layers Only, 7.0914mm
