Altium Designer Pick and Place Locations
C:\Users\ELSYS\Documents\2022_10_tom_gaupp_schmidt_messplatinen\00_Altium_Spannungsmessung_15kV\Project Outputs for Projekt_Spannungsmessung_15kV\Rev02\Pick Place\Projekt_Spannungsmessung_15kV_Rev02.csv

========================================================================================================================
File Design Information:

Date:       26.09.23
Time:       09:10
Revision:   9134f30d1e426456f10ffc559205b9adcaffe71d
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"D2","1SS356VMFHTE17","324.2500","324.2500","71.0000","71.0000","323.2000","71.0000","90","1SS356VMFHTE-17","TopLayer"
"D1","1SS356VMFHTE17","324.2500","324.2500","68.5000","68.5000","325.3000","68.5000","270","1SS356VMFHTE-17","TopLayer"
"D4","1SS356VMFHTE17","318.7500","318.7500","71.0000","71.0000","319.8000","71.0000","270","1SS356VMFHTE-17","TopLayer"
"D3","1SS356VMFHTE17","318.7500","318.7500","68.5000","68.5000","317.7000","68.5000","90","1SS356VMFHTE-17","TopLayer"
"J4","7460719","68.4200","73.5000","170.9600","176.0400","68.4200","170.9600","0","7460719_M8","TopLayer"
"J1","7460719","528.4200","533.5000","170.9200","176.0000","528.4200","170.9200","0","7460719_M8","TopLayer"
"J8","BNC5-J-P-GN-ST-TH2D_new","340.0710","340.1650","63.4500","63.5850","340.1650","63.5850","0","BNC5-J-P-GN-ST-TH2D_new","TopLayer"
"J7","BNC5-J-P-GN-ST-TH2D_new","340.0000","339.9060","47.7500","47.6150","339.9060","47.6150","180","BNC5-J-P-GN-ST-TH2D_new","TopLayer"
"C97","C_0603","307.5000","307.5000","95.5000","95.5000","306.8000","95.5000","0","100 nF","TopLayer"
"C105","C_0603","321.6960","321.6960","51.3470","51.3470","320.9960","51.3470","0","100 nF","TopLayer"
"C104","C_0603","321.6000","321.6000","59.7200","59.7200","320.9000","59.7200","0","100 nF","TopLayer"
"C102","C_0603","316.5000","316.5000","55.7500","55.7500","316.5000","55.0500","90","1 µF","TopLayer"
"C101","C_0603","305.5000","305.5000","43.9000","43.9000","306.2000","43.9000","180","1 µF","TopLayer"
"C100","C_0603","305.5000","305.5000","41.4000","41.4000","306.2000","41.4000","180","1 µF","TopLayer"
"C99","C_0603","305.5000","305.5000","46.4000","46.4000","306.2000","46.4000","180","1 µF","TopLayer"
"C98","C_0603","307.5000","307.5000","82.0000","82.0000","308.2000","82.0000","180","100 nF","TopLayer"
"C12","C_0603","297.1000","297.1000","37.0000","37.0000","297.1000","36.3000","90","1 µF","TopLayer"
"C3","C_0603","302.0000","302.0000","63.0000","63.0000","302.0000","62.3000","90","1 µF","TopLayer"
"C2","C_0603","300.0000","300.0000","63.0000","63.0000","300.0000","62.3000","90","1 µF","TopLayer"
"C1","C_0603","298.0000","298.0000","63.0000","63.0000","298.0000","62.3000","90","1 µF","TopLayer"
"C6","C_0603","263.5000","263.5000","55.0000","55.0000","262.8000","55.0000","0","1 µF","TopLayer"
"C5","C_0603","263.5000","263.5000","52.5000","52.5000","262.8000","52.5000","0","1 µF","TopLayer"
"C4","C_0603","263.5000","263.5000","50.0000","50.0000","262.8000","50.0000","0","1 µF","TopLayer"
"C11","C_0603","299.6000","299.6000","37.0000","37.0000","299.6000","36.3000","90","1 µF","TopLayer"
"C10","C_0603","302.1000","302.1000","37.0000","37.0000","302.1000","36.3000","90","1 µF","TopLayer"
"C9","C_0805","312.7500","312.7500","55.7500","55.7500","312.7500","56.7500","270","15 pF","TopLayer"
"C8","C_0805","327.7500","327.7500","55.7500","55.7500","327.7500","56.7500","270","15 pF","TopLayer"
"C7","C_1206","298.5000","298.5000","109.5000","109.5000","299.9500","109.5000","0","1600 pF","TopLayer"
"C172","C_1206","292.2500","292.2500","120.0000","120.0000","292.2500","121.4500","90","1000 pF","TopLayer"
"C171","C_1206","292.2500","292.2500","125.0000","125.0000","292.2500","126.4500","90","1000 pF","TopLayer"
"C170","C_1206","292.2500","292.2500","130.0000","130.0000","292.2500","131.4500","90","1000 pF","TopLayer"
"C169","C_1206","292.2500","292.2500","135.0000","135.0000","292.2500","136.4500","90","1000 pF","TopLayer"
"C168","C_1206","292.2500","292.2500","140.0000","140.0000","292.2500","141.4500","90","1000 pF","TopLayer"
"C167","C_1206","275.7500","275.7500","140.0000","140.0000","275.7500","138.5500","270","1000 pF","TopLayer"
"C166","C_1206","275.7500","275.7500","135.0000","135.0000","275.7500","133.5500","270","1000 pF","TopLayer"
